id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1090426860445351779,Carranque - 1 bedroom and pool in Castilla,346367515,Ukio,Tetuán,Cuatro Caminos,40.45296322379761,-3.701157613246231,Entire home/apt,143,31,1,2024-05-15,0.25,314,365,1,
1187367431178766279,Apartamento en calle Serrano,389748045,Clara,Salamanca,Castellana,40.42985,-3.68607,Entire home/apt,75,10,0,,,1,37,0,
1043392700934978418,"Sunny, Comfy and Quiet flat in Prime Location",550337376,Maria,Salamanca,Goya,40.42304417177759,-3.6784487947204614,Entire home/apt,154,14,6,2024-09-01,0.70,1,340,6,
50278310,RETIRO  FUNCIONAL Y CONFORTABLE,402683004,Ruth,Retiro,Pacífico,40.40069,-3.67628,Entire home/apt,99,4,13,2024-06-17,0.39,46,69,5,
43604025,"Piso Avenida Europa, Pozuelo De Alarcon",269953007,Maria,Moncloa - Aravaca,Aravaca,40.44618,-3.78399,Entire home/apt,80,20,1,2020-08-18,0.02,1,255,0,
35453455,"Espléndida habitación, cerca del retiro y atocha",181830190,Like At Home,Retiro,Pacífico,40.40593,-3.68632,Private room,28,1,67,2024-07-25,1.05,7,56,22,
7119614,Double room in central Madrid,19678357,Del Moral,Chamberí,Almagro,40.43243,-3.69735,Private room,28,5,75,2024-08-19,0.67,3,43,10,
993298432301719242,"Muy céntrico, luminoso y estancias independientes",7832636,David,Centro,Embajadores,40.4120072,-3.7024443,Entire home/apt,136,90,0,,,3,135,0,
802825010299759024,Unique 3bedrooms flat in Chamber by SharingCo,495702445,Belén,Chamberí,Almagro,40.43499927888952,-3.6916532826526454,Entire home/apt,168,1,5,2024-07-06,0.28,1,224,4,
1045592465518563705,Amazing Flat in central Madrid,550814158,Nested,Chamberí,Almagro,40.432696583583756,-3.6924734414273463,Entire home/apt,129,3,20,2024-08-22,2.35,1,203,20,
925153329160171515,Somma - 2 bedrooms in Almagro,346367515,Ukio,Chamberí,Almagro,40.434080081009185,-3.693874124030115,Entire home/apt,150,31,0,,,314,38,0,
1160291050793262781,Location Gem: Salamanca Hideaway,578479773,Sarah,Salamanca,Goya,40.42508,-3.6796,Entire home/apt,250,3,11,2024-08-04,3.03,1,313,11,
22764702,Acogedor Loft Impecable,20325507,Javier,Salamanca,Guindalera,40.43386,-3.66744,Entire home/apt,98,2,68,2024-09-04,1.99,2,246,21,500/2020/06137
24177795,"SERRANO CLASS, by Presidence Rentals",77420214,Presidence Rentals,Salamanca,Castellana,40.42998930046687,-3.6854340494840523,Entire home/apt,113,1,83,2024-08-07,1.06,24,56,13,
942539014545657463,Ottaviano - 2 bedrooms and pool in Ciudad Jardin,346367515,Ukio,Chamartín,Ciudad Jardín,40.44918,-3.67201,Entire home/apt,191,31,0,,,314,159,0,
943462477568088737,Habitación con baño privado,266268060,Lila,Chamberí,Rios Rosas,40.441,-3.6988,Private room,60,1,19,2024-07-14,1.58,1,156,19,
10484025,"Luxury Studio Retiro Park, Prado Museum & Cibeles",11128470,Carolina,Salamanca,Recoletos,40.42281832940908,-3.690225076721194,Entire home/apt,132,3,79,2024-09-08,3.00,1,73,34,
1021007162679667670,Cozy Lavapiés apartment,291253690,Fran Y Marta Isabel,Centro,Embajadores,40.41094,-3.70101,Entire home/apt,155,1,33,2024-09-02,3.94,322,77,33,
54240076,Sire - 2 bedrooms in Almagro,346367515,Ukio,Chamberí,Almagro,40.43457,-3.69316,Entire home/apt,195,31,1,2023-06-23,0.07,314,330,0,
40585946,Generator - Deluxe King,270258576,Generator,Centro,Palacio,40.42021,-3.70889,Private room,180,1,68,2024-08-21,1.19,5,273,3,A78484961
